"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000152952",5218.42829404012,5.63687047753258,0.121074977452731,46.5568575450139,0,0
"ENSG00000159167",1618.80378131637,5.46822926088329,0.148313742481516,36.8693363770034,1.43316360861519e-297,9.86661486351128e-294
"ENSG00000131016",2300.44828388444,3.74140223826579,0.125805138285033,29.7396615851174,2.35931673141952e-194,1.08284773583051e-190
"ENSG00000150594",1311.18010235723,4.6113693535335,0.158392743105548,29.1135140608091,2.42130498803148e-186,8.33473709505136e-183
"ENSG00000096088",996.511854753316,3.99025894510474,0.146853699785346,27.1716609859831,1.404791482477e-162,3.86851478444517e-159
"ENSG00000140459",603.927820921112,5.96634341931259,0.220499913172149,27.0582574545258,3.05386178181227e-161,7.00810381229552e-158
"ENSG00000158406",5443.20222961843,3.03684665115038,0.112795502012311,26.9234729840463,1.16668493574578e-159,2.29486926861196e-156
"ENSG00000104419",15545.6338850174,2.99278962662919,0.112405946616413,26.6248336206101,3.50205656192324e-156,6.02747710014013e-153
"ENSG00000157219",564.746652286258,6.10098532886892,0.239827004294764,25.4391091062055,9.31768168789537e-143,1.42550176845146e-139
"ENSG00000137801",1841.18050646194,3.5791168125037,0.143483736330612,24.9444076662234,2.45561954459251e-137,3.38114255094943e-134
"ENSG00000143847",829.723498482718,4.12768284671915,0.16904397690548,24.4178048948003,1.10658100042134e-131,1.38513761770922e-128
"ENSG00000172243",698.169162348598,4.03457148210962,0.173341052837799,23.275337354071,7.88154191165144e-120,9.04341254846073e-117
"ENSG00000146648",6096.03707073023,2.66790922181583,0.115230047201007,23.1528953308675,1.3593298552205e-118,1.43973944434854e-115
"ENSG00000134240",1045.91133083088,-3.33098461135808,0.145640285793826,-22.8713133402769,8.9692889878099e-116,8.82129571951104e-113
"ENSG00000131389",795.164762399946,4.03262008795969,0.177799228598952,22.6807513156076,6.93941815167833e-114,6.36992323536392e-111
"ENSG00000170525",2259.35754118385,2.82562575131846,0.124943246156346,22.6152740403643,3.06621198352718e-113,2.63866705007411e-110
"ENSG00000115414",28771.692662433,2.88502267405902,0.129495891408703,22.2788741995958,5.92278943093206e-110,4.79711103967668e-107
"ENSG00000114268",1398.39546907318,2.85637966933417,0.129195230707457,22.1090179079598,2.58840344952409e-108,1.97998483869429e-105
"ENSG00000166292",441.47971715721,4.75638000216932,0.215429590057726,22.0785826166907,5.07762922723237e-108,3.67967772788223e-105
"ENSG00000125629",1951.34494782451,2.79959398920288,0.130837203948514,21.3975375865152,1.40853126717351e-101,9.69703350885602e-99
"ENSG00000164188",732.455696265566,3.40724169390848,0.160951721801325,21.1693398229955,1.83104264422324e-99,1.20055362706237e-96
"ENSG00000134333",46958.6375490052,1.927027909513,0.0965011584928948,19.9689614053171,1.02563880463624e-88,6.41910031865291e-86
"ENSG00000102144",24353.3403666394,2.20448306977316,0.110767205759928,19.9019471029274,3.91423951376492e-88,2.3432679941317e-85
"ENSG00000164850",470.355019113633,3.58109217993088,0.183055630222751,19.5628628060947,3.20564023327812e-85,1.76553841488026e-82
"ENSG00000197520",511.417431463107,3.70961063996478,0.189614089781015,19.5640030983405,3.13473867722193e-85,1.76553841488026e-82
"ENSG00000115738",1280.57620386034,2.49709505392093,0.128429180926853,19.4433619828437,3.31699818046286e-84,1.75660569026128e-81
"ENSG00000131711",12129.7893411435,2.08400358879588,0.107438427617799,19.3971899533889,8.15065945920662e-84,4.15653444791911e-81
"ENSG00000198763",97417.6415516895,-1.87589459584039,0.0968528550860143,-19.3685007444997,1.42342309785761e-83,6.99968308371481e-81
"ENSG00000176171",14126.6388694837,2.05926515861208,0.107405045569317,19.1728903209027,6.23466739138217e-82,2.96017707972211e-79
"ENSG00000149925",3107.23971862252,2.29002651622014,0.121946994836879,18.7788679768892,1.12452034175871e-78,5.16117352855854e-76
"ENSG00000196968",746.451564074804,2.7061282251761,0.148733378607992,18.1944917173467,5.70660285491774e-74,2.53465208739879e-71
"ENSG00000114023",13100.6532404629,1.82046653715953,0.101677248955838,17.9043646032381,1.09032333866507e-71,4.69145689064978e-69
"ENSG00000104765",16120.076875991,2.12116970477011,0.119358865262743,17.7713628568838,1.17793895411942e-70,4.91486104826373e-68
"ENSG00000134107",1488.56320303485,2.38013015958479,0.134413119161466,17.7075732966633,3.66538195152692e-70,1.48437188501689e-67
