Geneid,LNCAP_Hypoxia_S1,LNCAP_Hypoxia_S2,LNCAP_Normoxia_S1,LNCAP_Normoxia_S2,PC3_Hypoxia_S1,PC3_Hypoxia_S2,PC3_Normoxia_S1,PC3_Normoxia_S2
ENSG00000000003,604,691,367,380,1059,332,352,971
ENSG00000000005,0,0,0,0,0,0,0,0
ENSG00000000419,1995,2302,2160,2454,1974,693,747,1761
ENSG00000000457,554,607,433,518,88,26,29,83
ENSG00000000460,275,350,379,349,390,155,189,438
ENSG00000000938,2,2,2,1,0,0,0,1
ENSG00000000971,0,0,1,0,3,1,0,2
ENSG00000001036,178,229,334,452,821,280,287,732
ENSG00000001084,1274,1749,915,941,804,251,310,903
ENSG00000001167,5820,6361,4616,5061,2311,727,685,1855
ENSG00000001460,286,290,432,512,320,119,130,391
ENSG00000001461,1653,1985,2190,2735,800,258,324,864
ENSG00000001497,2310,2456,2829,3617,426,151,230,609
ENSG00000001561,1350,1544,1242,1344,1704,560,513,1525
ENSG00000001617,1233,1195,757,986,270,93,159,403
ENSG00000001626,6,2,10,15,7,1,1,4
ENSG00000001629,2465,2852,2490,2741,1296,412,462,1257
ENSG00000001630,123,166,172,191,101,29,41,101
ENSG00000001631,653,776,729,746,254,90,96,292
ENSG00000002016,467,617,613,719,159,43,70,188
ENSG00000002330,248,320,218,524,173,71,107,198
ENSG00000002549,2172,2519,3845,5070,756,244,333,962
ENSG00000002586,8476,10240,7193,9439,3949,1455,1173,3056
ENSG00000002587,75,92,244,422,57,17,16,42
ENSG00000002726,13,10,7,7,1,0,0,0
ENSG00000002745,0,1,2,0,3,0,0,4
ENSG00000002746,0,5,1,2,17,8,9,44
ENSG00000002822,4,5,2,5,1,2,3,4
ENSG00000002834,4015,4530,4146,4826,6525,2253,2575,6776
ENSG00000002919,336,345,356,557,419,141,163,430
ENSG00000002933,6,1,1,1,0,0,0,0
ENSG00000003056,2144,2419,2274,2699,2620,980,1252,2935
ENSG00000003096,69,92,121,211,276,85,119,279
ENSG00000003137,52,86,32,35,615,182,188,470
ENSG00000003147,2587,2769,2701,3406,30,18,14,60
ENSG00000003249,2037,2298,1503,2319,527,142,180,427
ENSG00000003393,2105,2273,1837,1966,794,259,302,980
ENSG00000003400,46,53,69,76,1,3,4,5
ENSG00000003402,2496,2961,2597,2697,759,248,289,795
ENSG00000003436,9048,10230,4862,5114,2919,952,612,1836
ENSG00000003509,862,940,898,1097,369,163,205,537
ENSG00000003756,3597,3756,2889,3700,710,207,240,750
ENSG00000003987,42,63,27,23,30,8,9,38
ENSG00000003989,779,923,583,633,145,32,108,318
ENSG00000004059,2840,3270,2369,4002,736,311,377,1012
ENSG00000004139,364,426,520,650,33,12,37,98
ENSG00000004142,4180,4811,5408,7502,1220,450,666,1584
ENSG00000004399,258,255,85,90,156,67,68,223
ENSG00000004455,7357,8945,8524,9315,3560,1221,1128,3143
ENSG00000004468,1,3,9,7,2,1,0,4
ENSG00000004478,7701,9940,12036,13881,3125,1021,1390,3397
ENSG00000004487,4739,5697,3773,4169,1832,622,735,2000
ENSG00000004534,7763,8459,4896,5835,552,173,221,565
ENSG00000004660,496,673,632,721,101,64,114,234
ENSG00000004700,1318,1573,1608,1624,2369,826,656,1855
ENSG00000004766,699,879,1143,1082,963,303,371,1060
ENSG00000004776,30,32,21,29,6,0,0,5
ENSG00000004777,1238,1163,675,912,32,23,27,64
ENSG00000004779,2298,2902,2926,4236,860,304,299,847
ENSG00000004799,0,0,2,1,49,15,23,66
ENSG00000004809,7,10,12,14,2,0,1,3
ENSG00000004838,76,66,73,90,9,0,2,8
ENSG00000004846,8,17,41,45,3,1,0,8
ENSG00000004848,39,43,45,79,3,1,2,6
ENSG00000004864,1270,1691,1718,1897,1011,314,425,1096
ENSG00000004866,6058,6008,3963,5484,481,183,250,647
ENSG00000004897,6038,7517,6791,6819,13997,4251,3372,9790
ENSG00000004939,6,2,6,5,1,0,0,7
ENSG00000004948,1,1,0,0,0,0,0,1
ENSG00000004961,1059,1244,859,1097,749,289,352,884
ENSG00000004975,2339,2677,1527,2049,642,266,300,786
ENSG00000005001,9,8,6,7,8,2,5,15
ENSG00000005007,3736,4481,3097,3703,452,145,181,407
